source,target,relationship
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Minerva,""id"":999,""label"":Peach_variant,""properties"":{""name"":Minerva}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Maria_Bianca,""id"":993,""label"":Peach_variant,""properties"":{""name"":Maria_Bianca}}","{""value"":{}}"
"{""caption"":San_Gottardo_(Fol_33),""id"":947,""label"":Peach_variant,""properties"":{""name"":San_Gottardo_(Fol_33)}}","{""caption"":Inra_Hybrid_(Redwing_147_X_Dixired_123)_19,""id"":1067,""label"":Peach_variant,""properties"":{""name"":Inra_Hybrid_(Redwing_147_X_Dixired_123)_19}}","{""value"":{}}"
"{""caption"":Early_OHenry,""id"":959,""label"":Peach_variant,""properties"":{""name"":Early_OHenry}}","{""caption"":Xi_Nong_Zao_Mi,""id"":1221,""label"":Peach_variant,""properties"":{""name"":Xi_Nong_Zao_Mi}}","{""value"":{}}"
"{""caption"":Early_OHenry,""id"":959,""label"":Peach_variant,""properties"":{""name"":Early_OHenry}}","{""caption"":Zao_Yan,""id"":1244,""label"":Peach_variant,""properties"":{""name"":Zao_Yan}}","{""value"":{}}"
"{""caption"":Early_OHenry,""id"":959,""label"":Peach_variant,""properties"":{""name"":Early_OHenry}}","{""caption"":Kappa_2,""id"":926,""label"":Peach_variant,""properties"":{""name"":Kappa_2}}","{""value"":{}}"
"{""caption"":Big_Top,""id"":967,""label"":Peach_variant,""properties"":{""name"":Big_Top}}","{""caption"":Rebus_028,""id"":1154,""label"":Peach_variant,""properties"":{""name"":Rebus_028}}","{""value"":{}}"
"{""caption"":Chun_Lei,""id"":974,""label"":Peach_variant,""properties"":{""name"":Chun_Lei}}","{""caption"":Xia_Cui,""id"":1223,""label"":Peach_variant,""properties"":{""name"":Xia_Cui}}","{""value"":{}}"
"{""caption"":Ciccio_Petrino,""id"":975,""label"":Peach_variant,""properties"":{""name"":Ciccio_Petrino}}","{""caption"":Linda,""id"":1085,""label"":Peach_variant,""properties"":{""name"":Linda}}","{""value"":{}}"
"{""caption"":Diamante,""id"":976,""label"":Peach_variant,""properties"":{""name"":Diamante}}","{""caption"":Precocinho,""id"":929,""label"":Peach_variant,""properties"":{""name"":Precocinho}}","{""value"":{}}"
"{""caption"":Dixired,""id"":979,""label"":Peach_variant,""properties"":{""name"":Dixired}}","{""caption"":Genadix_7,""id"":1088,""label"":Peach_variant,""properties"":{""name"":Genadix_7}}","{""value"":{}}"
"{""caption"":Dixired,""id"":979,""label"":Peach_variant,""properties"":{""name"":Dixired}}","{""caption"":Genadix_4,""id"":1081,""label"":Peach_variant,""properties"":{""name"":Genadix_4}}","{""value"":{}}"
"{""caption"":Fortuna,""id"":983,""label"":Peach_variant,""properties"":{""name"":Fortuna}}","{""caption"":Andross,""id"":1045,""label"":Peach_variant,""properties"":{""name"":Andross}}","{""value"":{}}"
"{""caption"":Hiratsuka_Red,""id"":985,""label"":Peach_variant,""properties"":{""name"":Hiratsuka_Red}}","{""caption"":Chiyodared,""id"":973,""label"":Peach_variant,""properties"":{""name"":Chiyodared}}","{""value"":{}}"
"{""caption"":Huangshanearlydew,""id"":986,""label"":Peach_variant,""properties"":{""name"":Huangshanearlydew}}","{""caption"":Chun_Xia_Mi,""id"":1172,""label"":Peach_variant,""properties"":{""name"":Chun_Xia_Mi}}","{""value"":{}}"
"{""caption"":Jing_Yu,""id"":987,""label"":Peach_variant,""properties"":{""name"":Jing_Yu}}","{""caption"":Rui_Guang_2,""id"":1211,""label"":Peach_variant,""properties"":{""name"":Rui_Guang_2}}","{""value"":{}}"
"{""caption"":Jing_Yu,""id"":987,""label"":Peach_variant,""properties"":{""name"":Jing_Yu}}","{""caption"":Rui_Guang_3,""id"":1212,""label"":Peach_variant,""properties"":{""name"":Rui_Guang_3}}","{""value"":{}}"
"{""caption"":Luisa_Berselli,""id"":990,""label"":Peach_variant,""properties"":{""name"":Luisa_Berselli}}","{""caption"":Isabella_DEste,""id"":1105,""label"":Peach_variant,""properties"":{""name"":Isabella_DEste}}","{""value"":{}}"
"{""caption"":Maycrest,""id"":995,""label"":Peach_variant,""properties"":{""name"":Maycrest}}","{""caption"":Borgia,""id"":1138,""label"":Peach_variant,""properties"":{""name"":Borgia}}","{""value"":{}}"
"{""caption"":Maycrest,""id"":995,""label"":Peach_variant,""properties"":{""name"":Maycrest}}","{""caption"":Borgia,""id"":1138,""label"":Peach_variant,""properties"":{""name"":Borgia}}","{""value"":{}}"
"{""caption"":Maycrest,""id"":995,""label"":Peach_variant,""properties"":{""name"":Maycrest}}","{""caption"":Lucrezia,""id"":1145,""label"":Peach_variant,""properties"":{""name"":Lucrezia}}","{""value"":{}}"
"{""caption"":Maycrest,""id"":995,""label"":Peach_variant,""properties"":{""name"":Maycrest}}","{""caption"":Lucrezia,""id"":1145,""label"":Peach_variant,""properties"":{""name"":Lucrezia}}","{""value"":{}}"
"{""caption"":May_Flower,""id"":996,""label"":Peach_variant,""properties"":{""name"":May_Flower}}","{""caption"":Botto,""id"":968,""label"":Peach_variant,""properties"":{""name"":Botto}}","{""value"":{}}"
"{""caption"":May_Flower,""id"":996,""label"":Peach_variant,""properties"":{""name"":May_Flower}}","{""caption"":Hatsukami,""id"":1185,""label"":Peach_variant,""properties"":{""name"":Hatsukami}}","{""value"":{}}"
"{""caption"":May_Flower,""id"":996,""label"":Peach_variant,""properties"":{""name"":May_Flower}}","{""caption"":Salkaja,""id"":934,""label"":Peach_variant,""properties"":{""name"":Salkaja}}","{""value"":{}}"
"{""caption"":Minerva,""id"":999,""label"":Peach_variant,""properties"":{""name"":Minerva}}","{""caption"":Elberta,""id"":1101,""label"":Peach_variant,""properties"":{""name"":Elberta}}","{""value"":{}}"
"{""caption"":Primerose,""id"":1002,""label"":Peach_variant,""properties"":{""name"":Primerose}}","{""caption"":Camden,""id"":971,""label"":Peach_variant,""properties"":{""name"":Camden}}","{""value"":{}}"
"{""caption"":Regina_Bianca,""id"":1004,""label"":Peach_variant,""properties"":{""name"":Regina_Bianca}}","{""caption"":Bella_Di_Piangipane,""id"":1137,""label"":Peach_variant,""properties"":{""name"":Bella_Di_Piangipane}}","{""value"":{}}"
"{""caption"":Regina_Bianca,""id"":1004,""label"":Peach_variant,""properties"":{""name"":Regina_Bianca}}","{""caption"":Rosa_Del_West,""id"":1006,""label"":Peach_variant,""properties"":{""name"":Rosa_Del_West}}","{""value"":{}}"
